subject,module,chapter,material_title,share_url,share_code,note
行测,数量关系,数量关系600题,数量关系1-17解析,https://pan.quark.cn/s/057ee969f4d5,,来源：刷题合集/数量关系600题
行测,数量关系,数量关系600题,数量关系18-34解析,https://pan.quark.cn/s/de9f2c606f99,,来源：刷题合集/数量关系600题
行测,数量关系,数量关系600题,数量关系35-60解析,https://pan.quark.cn/s/740c5989ec74,,来源：刷题合集/数量关系600题
行测,数量关系,数量关系600题,数量关系600题,https://pan.quark.cn/s/aa37bd3f9b65,,来源：刷题合集/数量关系600题
行测,言语理解,片段阅读600题,2025年花生片段阅读600题-解析【上】,https://pan.quark.cn/s/a181388399b6,,来源：刷题合集/片段阅读600题
行测,言语理解,片段阅读600题,2025年花生片段阅读600题-解析【下】,https://pan.quark.cn/s/f82c20444310,,来源：刷题合集/片段阅读600题
行测,言语理解,片段阅读600题,2025年花生片段阅读600题-题本【上】,https://pan.quark.cn/s/b1daea668fdf,,来源：刷题合集/片段阅读600题
行测,言语理解,片段阅读600题,2025年花生片段阅读600题-题本【下】,https://pan.quark.cn/s/1656c49e1152,,来源：刷题合集/片段阅读600题
行测,资料分析,资料分析1200题,1200题解析,https://pan.quark.cn/s/1a049336121d,,来源：刷题合集/资料分析1200题
行测,资料分析,资料分析1200题,1200题题本,https://pan.quark.cn/s/e81d7920993e,,来源：刷题合集/资料分析1200题
行测,资料分析,资料分析600题,解析篇,https://pan.quark.cn/s/54e22947f28a,,来源：刷题合集/资料分析600题
行测,资料分析,资料分析600题,题本篇,https://pan.quark.cn/s/4bd17f637458,,来源：刷题合集/资料分析600题
行测,判断推理,逻辑判断600题,逻辑判断600题解析篇,https://pan.quark.cn/s/3f5dd04fabef,,来源：刷题合集/逻辑判断600题
行测,判断推理,逻辑判断600题,逻辑判断600题题本篇,https://pan.quark.cn/s/acea75b0dee0,,来源：刷题合集/逻辑判断600题
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第21节,https://pan.quark.cn/s/c3650fdb1e40,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第二十节,https://pan.quark.cn/s/2fe520d04735,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十八节,https://pan.quark.cn/s/51f3276052ec,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十九节,https://pan.quark.cn/s/6f006d403384,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十六节,https://pan.quark.cn/s/5f57a05a7553,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十七节,https://pan.quark.cn/s/d0bc40d21be4,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十三节,https://pan.quark.cn/s/1acaa2f467eb,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册--第十五节,https://pan.quark.cn/s/e8a8fcc2b70d,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册1-9节的答案（更新）,https://pan.quark.cn/s/13696020ae24,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第八节,https://pan.quark.cn/s/829f34db5d78,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第二节,https://pan.quark.cn/s/cd22fbd488b1,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第九节,https://pan.quark.cn/s/2f28b4b36509,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第六节,https://pan.quark.cn/s/cb74eaf38fdf,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第七节,https://pan.quark.cn/s/64a9638e4eef,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第十二节,https://pan.quark.cn/s/8fb47d6d0708,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第三节,https://pan.quark.cn/s/52d2d989155a,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第十节,https://pan.quark.cn/s/4ffa560eb265,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第四节,https://pan.quark.cn/s/865435e1a8ce,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第十四节,https://pan.quark.cn/s/68d547649242,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第十一节,https://pan.quark.cn/s/01ce98010371,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第五节,https://pan.quark.cn/s/43f054fad59b,,来源：常识判断/背诵手册
行测,常识判断,背诵手册,【四海】常识判断背诵手册——第一节,https://pan.quark.cn/s/c47ba1c49017,,来源：常识判断/背诵手册
行测,常识判断,课件,20250704常识判断—文史常识-第一讲,https://pan.quark.cn/s/07e49ed29ee6,,来源：常识判断/课件
行测,常识判断,课件,20250705常识判断—文史常识-第二讲,https://pan.quark.cn/s/9e24ef801d3c,,来源：常识判断/课件
行测,常识判断,课件,20250707常识判断—文史常识-第三讲,https://pan.quark.cn/s/e094734b382c,,来源：常识判断/课件
行测,常识判断,课件,20250709常识判断—文史常识-第四讲,https://pan.quark.cn/s/389d2273a95c,,来源：常识判断/课件
行测,常识判断,课件,20250711常识判断—文史常识-第五讲,https://pan.quark.cn/s/fc9894fd3cca,,来源：常识判断/课件
行测,常识判断,课件,20250714常识判断—文史常识-第六讲,https://pan.quark.cn/s/fd818a9a4e50,,来源：常识判断/课件
行测,常识判断,课件,20250716常识判断—文史常识-第七节,https://pan.quark.cn/s/cc421cdee470,,来源：常识判断/课件
行测,常识判断,课件,20250718常识判断—文史常识-第八节,https://pan.quark.cn/s/0e341d24530a,,来源：常识判断/课件
行测,常识判断,课件,20250721常识判断—文史常识-第九节,https://pan.quark.cn/s/a701fdf188f5,,来源：常识判断/课件
行测,常识判断,课件,20250723常识判断—文史常识—第十节,https://pan.quark.cn/s/28edf713afc4,,来源：常识判断/课件
行测,常识判断,课件,20250725常识判断—文史常识-第十一节,https://pan.quark.cn/s/f9fdf2d50b8d,,来源：常识判断/课件
行测,常识判断,课件,20250728常识判断—文史常识-第十二节,https://pan.quark.cn/s/22d1f19299d7,,来源：常识判断/课件
行测,常识判断,课件,20250730常识判断—文史常识-第十三节,https://pan.quark.cn/s/3354ada379e9,,来源：常识判断/课件
行测,常识判断,课件,20250801常识判断—文史常识-第十四节,https://pan.quark.cn/s/7fd7ee9b0afe,,来源：常识判断/课件
行测,常识判断,课件,20250804常识判断—文史常识+科技常识-第十五节,https://pan.quark.cn/s/10138191fc56,,来源：常识判断/课件
行测,常识判断,课件,20250806常识判断—科技常识-第十六节,https://pan.quark.cn/s/4aa840e616a7,,来源：常识判断/课件
行测,常识判断,课件,20250808常识判断—科技常识-第十七节,https://pan.quark.cn/s/5220f594b7df,,来源：常识判断/课件
政治理论,政治理论,讲义答案,【很多同学的选择】5分打印店 首单免费 包邮,https://pan.quark.cn/s/60fdf1a59ddb,,来源：政治理论/讲义答案
政治理论,政治理论,讲义答案,【四海】2025下半年政治理论（时政）加课-讲义答案,https://pan.quark.cn/s/a6d3a6083959,,来源：政治理论/讲义答案
政治理论,政治理论,课件,2026年国考政治理论——党和国家方针政策-第一节,https://pan.quark.cn/s/21ff94a45d4e,,来源：政治理论/课件
政治理论,政治理论,课件,2026年国考政治理论—马原-第二讲,https://pan.quark.cn/s/5e3aa9994131,,来源：政治理论/课件
政治理论,政治理论,课件,2026年国考政治理论—马原-第三讲,https://pan.quark.cn/s/12e988872c9b,,来源：政治理论/课件
政治理论,政治理论,课件,2026年国考政治理论—马原-第一讲,https://pan.quark.cn/s/fcbf4be1e2e0,,来源：政治理论/课件
政治理论,政治理论,课件,2026年国考政治理论——党和国家方针政策-第二讲,https://pan.quark.cn/s/a88250a217e0,,来源：政治理论/课件
政治理论,政治理论,课件,2026年国考政治理论——党和国家方针政策-第三讲,https://pan.quark.cn/s/d17e1a7bee1a,,来源：政治理论/课件
政治理论,政治理论,课件,【很多同学的选择】5分打印店 首单免费 包邮,https://pan.quark.cn/s/0ea9448d1050,,来源：政治理论/课件
行测,数量关系,随堂笔记,【四海】25下半年-数量第八讲随堂笔记,https://pan.quark.cn/s/f3c2a7ec67cd,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第二讲随堂笔记,https://pan.quark.cn/s/eed04e418ea6,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第九讲随堂笔记,https://pan.quark.cn/s/81ce40825d93,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第六讲随堂笔记,https://pan.quark.cn/s/6b7400e7310a,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第七讲随堂笔记,https://pan.quark.cn/s/f4c5133a5166,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第十讲随堂笔记,https://pan.quark.cn/s/4d8ca7872516,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第四讲随堂笔记,https://pan.quark.cn/s/417ef6c9ba5f,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第三讲随堂笔记,https://pan.quark.cn/s/7da40af230da,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第五讲随堂笔记,https://pan.quark.cn/s/9bdb107963b8,,来源：数量关系/随堂笔记
行测,数量关系,随堂笔记,【四海】25下半年-数量第一讲随堂笔记,https://pan.quark.cn/s/e297ae1965d3,,来源：数量关系/随堂笔记
申论,申论,时评分享,第二周时评（1）,https://pan.quark.cn/s/5aa88dec61a7,,来源：申论/时评分享
